CodigoEstacion, NombreEstacion, Altura, Promedio, Desviacion Estandar, Coeficiente de variacion
21205980, PROVIDENCIA GRANJA [21205980], 2560, 2.1498726500909644, 4.8913915839157935, 2.275200618840763
21200690, TESORO-VERTIENTES  [21200690], 2610, 2.9643719670466084, 6.446391594510454, 2.1746230453437216
24010350, HATO EL  [24010350], 2900, 1.9773472949389181, 4.6491538699650885, 2.3512075404582404
35060300, MUNDO NUEVO [35060300], 1740, 8.608935508935508, 13.85275993388024, 1.6091141488401195
24015150, CARRIZAL  [24015150], 2860, 1.796190385711571, 4.648025791837564, 2.58771332304856
24011090, UBATE GRANJA [24011090], 2555, 2.0076827371695183, 4.818044434525407, 2.399803686770753
21230090, ARRANCAPLUMAS [21230090], 235, 4.549751136117724, 11.904764214224457, 2.6165748099318513
21200270, SAUCIO  [21200270], 2640, 2.1280950095969295, 4.535127082783904, 2.1310735950848723
21206190, UNIV PEDAGOGICA [21206190], 2570, 4.354787406686141, 11.012796426433745, 2.528894156698718
21201640, VILLAPINZON GRANJA [21201640], 2745, 1.9131516936671575, 4.100595444274842, 2.1433718287203667
35060200, AMOLADERO EL [35060200], 2963, 4.806160445377384, 7.248618428501855, 1.508193184743479
21206370, VIOLETA LA  [21206370], 400, 2.861573074154068, 8.531452478841329, 2.9813855029242537
21200160, PANONIA [21200160], 2800, 2.6493139407244786, 5.118338038012376, 1.9319484789381816
21206180, PRIMAVERA D MATIMA [21206180], 1850, 2.5213511886849234, 6.577153394512796, 2.60858282020732
21205920, SUASUQUE [21205920], 2650, 2.311188725490196, 5.0189389901583485, 2.1715833652199246
24010610, CARMEN DE CARUPA [24010610], 2970, 1.8670968340915421, 4.595316761196668, 2.4612096583799166
24010390, EL TRIANGULO  - AUT  [24010390], 2879, 2.530771637122002, 5.7597388106431096, 2.275882472427696
35070480, ESPERANZA LA [35070480], 1854, 3.113538840937115, 5.757239515203541, 1.8490983441435802
21201570, ESCUELA COL INGENIERIA [21201570], 2650, 2.3925398358281025, 5.620945762101301, 2.3493634997955164
21190350, TULCAN EL [21190350], 2700, 2.1330383807100985, 4.279081538838094, 2.0060968323568407
35060400, BARAJAS  [35060400], 3500, 5.427518848526388, 7.808976887288374, 1.4387747155237554
35020330, BOLSA LA [35020330], 3195, 3.987036222319988, 9.252512244918135, 2.3206491561629847
21205420, TIBAITATA [21205420], 2543, 1.7930982320128583, 4.221566748018278, 2.354342150724961
21205410, REPRESA DEL NEUSA  [21205410], 3100, 2.664508902252093, 5.461487043280562, 2.0497161929781544
35030260, SAN LUIS  [35030260], 2959, 2.859909185507521, 6.518100580872357, 2.2791285170531217
21206360, TATAMBO  [21206360], 380, 2.6761470985155196, 8.072671020725503, 3.0165273893963
35020420, UNE  [35020420], 2430, 2.6544759624240193, 4.99221651927295, 1.8806787441066704
35070230, MACHETA GRANJA AGROP [35070230], 1815, 2.998584504044274, 5.474715199043014, 1.8257665213900471
21206160, HIDROPARAISO [21206160], 1600, 4.537156467570539, 9.102933265692107, 2.006307988440688
21195120, ITA VALSALICE  - AUT [21195120], 1460, 3.6725447452960065, 8.634993561596069, 2.3512289598802667
21200570, VENECIA  [21200570], 2673, 2.384312887369096, 5.415615429675557, 2.271352664478221
35040010, EL RETIRO [35040010], 870, 20.35872125013756, 28.081379769699762, 1.3793292527893923
21201680, ALTO DE AIRE  [21201680], 2900, 1.9459964932787845, 4.9117453713139065, 2.5240258080003883
35060160, POTRERITOS [35060160], 2802, 4.892791526059243, 7.159939612315294, 1.4633649470207573
35060220, GLORIA LA [35060220], 1845, 9.741318701757649, 15.57452062056136, 1.598810294313768
35050020, SAN JUANITO [35050020], 426, 10.6897719989012, 20.107306327402608, 1.8809855186312143
23065060, SANTA TERESA [23065060], 2200, 3.471168788229459, 7.778097354243249, 2.240771863534365
23060140, TUSCOLO EL [23060140], 985, 4.260090765953505, 11.094877872477515, 2.6043759351672473
21190210, NILO [21190210], 322, 3.97704280155642, 12.294374642881342, 3.091335762861271
21206400, VICTORIA LA  [21206400], 380, 3.098680968256269, 8.952647797948757, 2.8891802317379933
24010280, TAPIAS  [24010280], 2585, 2.0385766466360313, 5.125314625131371, 2.5141633176211147
24015130, SIMIJACA  [24015130], 2572, 2.2415382672392017, 5.341768625793911, 2.383081611349477
21201760, STA ISABEL  [21201760], 2680, 1.1964516964516965, 3.7806200077027263, 3.1598601254984797
21201300, AUSTRALIA [21201300], 3050, 3.1822538177988418, 4.924691256025306, 1.5475482277625814
21200850, CISACA  [21200850], 2880, 3.3841138177236454, 6.755731823860073, 1.9963075084762891
24011100, ISLA DEL SANTUARIO [24011100], 2580, 3.006281443150783, 6.650025321999192, 2.2120434988380606
21200430, VILLAPINZON  [21200430], 2700, 1.8649282464123207, 4.011291922819819, 2.1509095218738805
23065100, SABANETA [23065100], 2475, 3.9628500583430575, 8.70989716481342, 2.197887135920351
21170020, DOS AGUAS LAS [21170020], 3394, 3.3348632468599604, 10.437873070051923, 3.1299253664689286
21201190, LAGUNITAS [21201190], 3100, 2.29449637919684, 4.9339552501637955, 2.150343445689318
21201030, STA TERESA  [21201030], 3080, 2.5572138700290976, 5.141173243052052, 2.010458844802665
35020350, BETANIA [35020350], 3150, 3.0829053558327217, 5.543703221737704, 1.7982073991500453
21201070, CORAZON EL [21201070], 2845, 2.2414148857774507, 5.598820803275617, 2.4978957884156396
23060160, SAN PABLO [23060160], 1200, 6.233607169529501, 12.782921303659126, 2.050645951214785
35060210, CLARAVAL [35060210], 2100, 5.514494875549048, 8.426052271525343, 1.5279826097737386
