CodigoEstacion, NombreEstacion, Altura, Latitud, Longitud, 1976 - 2006, 1977 - 2006, 1978 - 2006, 1979 - 2006, 1980 - 2006, 1981 - 2006, 1982 - 2006, 1983 - 2006, 1984 - 2006, 1985 - 2006, 1986 - 2006
23065100, SABANETA [23065100], 4.90175, -74.30738889, 2475, 0.6161708340938128, 0.6029078549848943, 0.5887356996186566, 0.5735145001013993, 0.5571233020953985, 0.5393713722483846, 0.5201916495550992, 0.4993453160338055, 0.47660527625684423, 0.4516297262059974, 0.42422997946611907
21206260, C.UNIV.AGROP-UDCA [21206260], 4.798638888999999, -74.04972222, 2570, 0.5457200219018069, 0.5300226586102719, 0.5132492422020143, 0.49523423240721964, 0.47583447404443513, 0.4548242251670135, 0.43212411590235, 0.4074514938697774, 0.38053758088601297, 0.3509778357235984, 0.31854893908282
21206190, UNIV PEDAGOGICA [21206190], 4.666666667, -74.06666667, 2570, 0.8613798138346414, 0.8565898791540786, 0.8514715947980835, 0.8459744473737578, 0.8400547541328841, 0.8336436315847114, 0.8267168605977641, 0.8191881918819188, 0.8109756097560976, 0.8019556714471969, 0.792060232717317
21205740, SILOS [21205740], 5.117722222, -73.70141667, 2709, 0.28326336922796136, 0.2643504531722054, 0.23809523809523814, 0.2127357533968769, 0.21533115720753926, 0.2219910196035484, 0.23043577458361852, 0.23901916438519222, 0.24937779990044795, 0.26049543676662323, 0.27214236824093085
21195190, PASCA - AUT [21195190], 4.310111111, -74.31175, 2256, 0.4279978098193101, 0.4082326283987915, 0.3871125452234282, 0.3644291218819712, 0.3434768874381383, 0.34815463804621616, 0.36219484371435096, 0.3772169979764314, 0.39360378297660525, 0.41160365058670145, 0.4065708418891171
21205710, JARDIN BOTANICO  - AUT [21205710], 4.669333333, -74.10266667, 2552, 0.3743383829165906, 0.35271903323262843, 0.3296176786936541, 0.3075441087000609, 0.31673159945245866, 0.31869455700361404, 0.29842573579739906, 0.3030591596238543, 0.3150821304131408, 0.3232073011734029, 0.3327857631759069
21206210, FLORES COLOMBIANAS [21206210], 4.73625, -74.15733333, 2560, 0.8517977733162986, 0.8466767371601208, 0.8412046543463381, 0.8353275197728656, 0.8289986311466779, 0.8221443434454058, 0.8147387634040612, 0.8066896798000238, 0.7979094076655052, 0.7882659713168187, 0.7776865160848734
23065120, CABRERA LA [23065120], 5.141555556, -74.13936111, 20, 0.38893958751597, 0.3678247734138973, 0.34526254033440895, 0.33918069357128366, 0.34758344740444347, 0.36140619866389223, 0.3586584531143052, 0.3369836924175693, 0.33797909407665505, 0.3378096479791395, 0.3392197125256674
21205720, SAN JORGE GRANJA [21205720], 4.50575, -74.18927778, 2900, 0.2941230151487497, 0.2697318731117825, 0.24366872005475704, 0.23676738998174818, 0.22143834895230075, 0.1978972730259555, 0.18024184348619665, 0.14462563980478516, 0.14248382279741167, 0.1397653194263364, 0.12580424366872
21205420, TIBAITATA [21205420], 4.6914166669999995, -74.209, 2543, 0.11334185070268299, 0.08270392749244715, 0.049965776865160794, 0.044615696613263034, 0.04527745603874911, 0.04347826086956519, 0.044832306639288166, 0.04666111177240806, 0.04728720756595317, 0.04915254237288136, 0.05133470225872694
21185040, AEROPUERTO SANTIAGO VILA [21185040], 4.275444444, -74.798, 305, 0.3473261544077386, 0.324773413897281, 0.30067468465825753, 0.3074427093895762, 0.31325681794250815, 0.32219910196035484, 0.3039014373716632, 0.2974645875491013, 0.3094823295171727, 0.32425032594524117, 0.33347022587268993
35065010, GACHETA [35065010], 4.830388889, -73.64647222, 1752, 0.31073188538054386, 0.2869146525679759, 0.2614647501711157, 0.2341310079091462, 0.20469621985890285, 0.20808235680648346, 0.18651608487337445, 0.16390905844542314, 0.16202090592334495, 0.16453715775749678, 0.17111567419575635
21205770, BASE AEREA MADRID [21205770], 4.728805556, -74.2725, 2550, 0.6991239277240373, 0.6887273413897281, 0.677618069815195, 0.6896167106063679, 0.6830578077287565, 0.6741868360530062, 0.6606205795117499, 0.6477800261873586, 0.6540567446490791, 0.679400260756193, 0.7040383299110198
21145080, SANTA ANA - AUT [21145080], 3.589777778, -74.70294444, 1410, 0.6392589888665815, 0.6267938066465257, 0.6134741370881001, 0.5991685256540256, 0.5837632936716858, 0.5670791808126163, 0.5490531599361168, 0.5294607784787525, 0.5080886012941762, 0.48461538461538467, 0.45886379192334015
21206550, SENA MOSQUERA [21206550], 4.7, -74.21666667, 2543, 0.8957839021719292, 0.8921827794561934, 0.8883348000391121, 0.8842019874264855, 0.8797515004738339, 0.8749315518563137, 0.8697239333789641, 0.8640638019283419, 0.8578894972623196, 0.8511082138200783, 0.843668720054757
21206180, PRIMAVERA D MATIMA [21206180], 4.8055, -74.44347222, 1850, 0.4517247672933017, 0.43277945619335345, 0.4125354453896548, 0.39079294260799025, 0.3673791723702222, 0.3420216843719198, 0.3146246862879306, 0.2848470420188073, 0.2523643603782977, 0.21668839634941328, 0.17754962354551673
21205980, PROVIDENCIA GRANJA [21205980], 4.792388889, -74.20091667, 2560, 0.3987954006205512, 0.37802114803625375, 0.3558228219419185, 0.33198134252687084, 0.30630725492260713, 0.27850180703099336, 0.24845995893223816, 0.21580764194738722, 0.18018914883026382, 0.1410691003911343, 0.09815195071868588
21145070, LEGIOSA LA [21145070], 3.311027778, -74.70288889, 1476, 0.6555940865121372, 0.6436933534743202, 0.6309768260486947, 0.6173190022307848, 0.6026113509529325, 0.586682729164385, 0.569472963723477, 0.5507677657421736, 0.5503982080637133, 0.5428943937418513, 0.5292265571526351
