CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
21206560,INEM KENNEDY [21206560],4.661111111,-74.13477778,2580,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,Bogota D.C,15/07/1998 00:00,nan,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,1998-11-19 00:00,20.0,50,nan,900
21206560,INEM KENNEDY [21206560],4.661111111,-74.13477778,2580,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,Bogota D.C,15/07/1998 00:00,nan,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,1998-11-24 00:00,13.45,50,nan,900
21206560,INEM KENNEDY [21206560],4.661111111,-74.13477778,2580,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,Bogota D.C,15/07/1998 00:00,nan,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,1998-11-25 00:00,14.9,50,nan,900
21206560,INEM KENNEDY [21206560],4.661111111,-74.13477778,2580,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,Bogota D.C,15/07/1998 00:00,nan,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,1998-11-26 00:00,13.45,50,nan,900
21206560,INEM KENNEDY [21206560],4.661111111,-74.13477778,2580,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,Bogota D.C,15/07/1998 00:00,nan,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,1998-11-29 00:00,21.0,50,nan,900
21206560,INEM KENNEDY [21206560],4.661111111,-74.13477778,2580,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,Bogota D.C,15/07/1998 00:00,nan,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,1998-11-30 00:00,11.5,50,nan,900
21206560,INEM KENNEDY [21206560],4.661111111,-74.13477778,2580,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,Bogota D.C,15/07/1998 00:00,nan,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,1998-12-01 00:00,13.05,50,nan,900
21206560,INEM KENNEDY [21206560],4.661111111,-74.13477778,2580,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,Bogota D.C,15/07/1998 00:00,nan,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,1998-12-02 00:00,14.75,50,nan,900
21206560,INEM KENNEDY [21206560],4.661111111,-74.13477778,2580,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,Bogota D.C,15/07/1998 00:00,nan,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,1998-12-04 00:00,14.25,50,nan,900
21206560,INEM KENNEDY [21206560],4.661111111,-74.13477778,2580,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,Bogota D.C,15/07/1998 00:00,nan,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,1998-12-05 00:00,12.75,50,nan,900
21206560,INEM KENNEDY [21206560],4.661111111,-74.13477778,2580,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,Bogota D.C,15/07/1998 00:00,nan,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,1998-12-06 00:00,15.0,50,nan,900
21206560,INEM KENNEDY [21206560],4.661111111,-74.13477778,2580,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,Bogota D.C,15/07/1998 00:00,nan,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,1998-12-07 00:00,12.25,50,nan,900
21206560,INEM KENNEDY [21206560],4.661111111,-74.13477778,2580,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,Bogota D.C,15/07/1998 00:00,nan,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,1998-12-09 00:00,13.5,50,nan,900
