CodigoEstacion, NombreEstacion, Altura, Promedio, Desviacion Estandar, Coeficiente de variacion
21205710, JARDIN BOTANICO  - AUT [21205710], 2552, 20.478761887003543, 1.4441050177980668, 14.180936728707596
23065120, CABRERA LA [23065120], 20, 21.495849873691807, 1.7498365416827504, 12.284490214737472
21205720, SAN JORGE GRANJA [21205720], 2900, 16.35697140317084, 1.4467750934099488, 11.30581489664616
21205420, TIBAITATA [21205420], 2543, 19.428077474892397, 1.392964245250288, 13.947290851964086
21205770, BASE AEREA MADRID [21205770], 2550, 19.060511129431163, 1.529950638277102, 12.458252346556396
21206180, PRIMAVERA D MATIMA [21206180], 1850, 21.043617196507988, 1.3253300646732922, 15.878019941919495
21205980, PROVIDENCIA GRANJA [21205980], 2560, 19.317425478273766, 1.6457434121574877, 11.737811213808587
21205580, VENADO ORO VIVERO [21205580], 2725, 18.766577935522037, 1.9072103807584098, 9.839804840019502
21235010, JERUSALEN [21235010], 297, 34.43117762337431, 2.1579003095441607, 15.955870375980261
21206230, VEGAS LAS HACIENDA [21206230], 2543, 19.66571942446043, 1.0647766444528781, 18.469337702805653
21205700, GUASCA [21205700], 2750, 18.370944309927363, 1.8290421783171318, 10.044024423116438
21206050, ESCUELA COL INGENIERIA [21206050], 2650, 19.82383330954759, 1.878411974305084, 10.553506675169803
21205012, UNIVERSIDAD NACIONAL  - AUT [21205012], 2556, 19.3370647297586, 1.4978956448383356, 12.90948725059255
21205670, FLORIDA LA [21205670], 1915, 20.740808240887482, 1.4113456324131843, 14.695768183604951
21205660, MERCEDES - AUT [21205660], 810, 30.41270860077022, 1.8913234035339632, 16.08012069429462
