CodigoEstacion, NombreEstacion, Altura, Promedio, Desviacion Estandar, Coeficiente de variacion
21205710, JARDIN BOTANICO  - AUT [21205710], 2552, 8.7225029844807, 1.8745454370046604, 4.653129666687836
23065120, CABRERA LA [23065120], 20, 13.172508925673483, 1.2873881413743473, 10.231963851718575
21205720, SAN JORGE GRANJA [21205720], 2900, 7.1213943746259725, 1.7566425443980969, 4.053980360054456
21205420, TIBAITATA [21205420], 2543, 6.806854953164916, 2.827502167598124, 2.407373911563481
21205770, BASE AEREA MADRID [21205770], 2550, 6.341850367401469, 2.8056726432265933, 2.2603671824337224
21206180, PRIMAVERA D MATIMA [21206180], 1850, 14.078817056396149, 0.9386128308086994, 14.99960004197469
21205980, PROVIDENCIA GRANJA [21205980], 2560, 6.70232427891347, 3.0324530814142405, 2.2101988386866376
21205580, VENADO ORO VIVERO [21205580], 2725, 8.681975967957278, 1.479109196334368, 5.869732937550222
21235010, JERUSALEN [21235010], 297, 22.01668951336532, 1.3270240687054682, 16.59102501045285
21206230, VEGAS LAS HACIENDA [21206230], 2543, 7.893730057434587, 2.447890995135983, 3.2247065221121423
21205700, GUASCA [21205700], 2750, 7.628077719382067, 2.1708275884713006, 3.5139030662281976
21206050, ESCUELA COL INGENIERIA [21206050], 2650, 7.973095805863375, 2.287700921243609, 3.4852002426650897
21205012, UNIVERSIDAD NACIONAL  - AUT [21205012], 2556, 9.255177007993911, 2.306530433142943, 4.01259696165489
21205670, FLORIDA LA [21205670], 1915, 13.640468724211917, 1.0914707110402895, 12.4973291415315
21205660, MERCEDES - AUT [21205660], 810, 19.770083410565338, 1.5793695121990905, 12.517706121246933
