CodigoEstacion, NombreEstacion, Altura, Promedio, Desviacion Estandar, Coeficiente de variacion
21205710, JARDIN BOTANICO  - AUT [21205710], 2552, 8.543339443935228, 1.890150657503049, 4.519925123440298
23065120, CABRERA LA [23065120], 20, 13.180854723471818, 1.322095276201821, 9.96967084046954
21205720, SAN JORGE GRANJA [21205720], 2900, 6.957450310165844, 1.7373727988586076, 4.004581120837533
21205420, TIBAITATA [21205420], 2543, 6.749667155590657, 2.8252116134835483, 2.389083749825086
21205770, BASE AEREA MADRID [21205770], 2550, 6.047179363548699, 2.8406106222892067, 2.1288307929635795
21206180, PRIMAVERA D MATIMA [21206180], 1850, 14.078817056396149, 0.9386128308086994, 14.99960004197469
21205980, PROVIDENCIA GRANJA [21205980], 2560, 6.575081561480481, 2.9976641929638266, 2.193401641489275
21205580, VENADO ORO VIVERO [21205580], 2725, 8.7584, 1.4293774205472711, 6.127422942393086
21235010, JERUSALEN [21235010], 297, 21.72007548950224, 1.5094419804026202, 14.389473574670784
21206230, VEGAS LAS HACIENDA [21206230], 2543, 7.893730057434587, 2.447890995135983, 3.2247065221121423
21205700, GUASCA [21205700], 2750, 7.703520079325731, 2.1589869371220733, 3.5681179662877036
21206050, ESCUELA COL INGENIERIA [21206050], 2650, 7.959409388494219, 2.289044138214799, 3.4771760210363083
21205012, UNIVERSIDAD NACIONAL  - AUT [21205012], 2556, 9.255177007993911, 2.306530433142943, 4.01259696165489
21205670, FLORIDA LA [21205670], 1915, 13.642444845289303, 1.102070287219581, 12.378924469244064
21205660, MERCEDES - AUT [21205660], 810, 19.136556536599258, 2.1135902473184163, 9.054052251082469
