,SABANETA [23065100],C.UNIV.AGROP-UDCA [21206260],UNIV PEDAGOGICA [21206190],SILOS [21205740],PASCA - AUT [21195190],JARDIN BOTANICO  - AUT [21205710],FLORES COLOMBIANAS [21206210],CABRERA LA [23065120],SAN JORGE GRANJA [21205720],TIBAITATA [21205420],AEROPUERTO SANTIAGO VILA [21185040],GACHETA [35065010],BASE AEREA MADRID [21205770],SANTA ANA - AUT [21145080],SENA MOSQUERA [21206550],PRIMAVERA D MATIMA [21206180],PROVIDENCIA GRANJA [21205980],LEGIOSA LA [21145070],VENADO ORO VIVERO [21205580],JERUSALEN [21235010],SANTA TERESA [23065060],SAN CAYETANO [23125070],VEGAS LAS HACIENDA [21206230],ITA VALSALICE  - AUT [21195120],ELDORADO CATAM - AUT [21205791],GUASCA [21205700],YACOPI  - AUT [23065110],ACAPULCO [21206280],HIDROPARAISO [21206160],ELDORADO DIDACTICA [21205520],EL JAPON [35055010],LLANO LARGO [35025050],ESCUELA COL INGENIERIA [21206050],AEROPUERTO PALANQUERO [23035020],RAMADA LA  [21205160],C.UNIV.AGROP-UDCA [21206260],ISLA DEL SANTUARIO [24015120],UNIVERSIDAD NACIONAL  - AUT [21205012],FLORIDA LA [21205670],BOLSA LA [35025060],INEM KENNEDY [21206560],PENAS BLANCAS [21195110],MERCEDES - AUT [21205660],PANDI [21195060]
AEROPUERTO SANTIAGO VILA [21185040],0.9291267697447559,0.9099734171383814,0.9634509805432196,0.8678292608507477,0.8813255434619983,0.8834107169969733,0.973821997651389,0.09521575996574581,0.8811750613278164,0.8458188613982015,1.0,0.8798879143862902,0.9408277860576799,0.9301535282297666,0.981172557894909,0.9102709840345998,0.9026015305409595,0.9255318925605621,0.9037699521265737,0.6372293790289237,0.9152130895207387,0.8788106915895568,0.9018867618908366,0.959049700241702,0.8503694182902405,0.8676351131731772,0.8689766438260456,0.9297448050158239,0.9753642669874445,0.912612817076567,0.7770288546207923,0.9068727616055654,0.9009303678205344,0.5984246297239654,0.9759360126024806,0.9099734171383814,0.8604255938567361,0.9161799741613788,0.8860990739677952,0.9343042632473587,0.9822541426882244,0.885920796258274,0.8700936136623115,0.8752085250102201
GACHETA [35065010],0.9987154879767588,0.9988700839673232,0.9985099778359109,0.9980657444620602,0.9967828527283004,0.996992862541407,0.9994921303120936,0.016736855423545326,0.997618174110047,0.9981426625525908,0.8798879143862902,1.0,0.9981856014686976,0.9941263458170216,0.999642473085572,0.9984433198542971,0.9980474790513071,0.9965676084023061,0.9982325273911032,0.6905977053093145,0.998338339510961,0.9974355639533651,0.9988476662938568,0.998268052480689,0.9980969860561747,0.9971733484534182,0.9936324371935293,0.9988262416652198,0.9990486070423382,0.9985554681071663,0.8466277085393707,0.9983511138255154,0.9987711455819152,0.5532215197870047,0.9983824702467199,0.9988700839673232,0.997915719943903,0.9988739710008315,0.9968357523035363,0.9991665515713093,0.9994781429492485,0.9037186239542572,0.9818647917859085,0.9891842453436278
BASE AEREA MADRID [21205770],0.9989474039571542,0.999111759515113,0.9989455271306737,0.9980257256314846,0.9978654187906193,0.9982201795726986,0.9997270508147368,0.026424060233136315,0.9982268869941753,0.9982007113467131,0.9408277860576799,0.9981856014686976,1.0,0.9974735642206647,0.9995454261844862,0.9988753368048352,0.9986639930860118,0.9984404662139893,0.9987362380149702,0.8254563855080015,0.9990634682609815,0.9984254923033031,0.9991350143834152,0.9991222299034085,0.9982343230988273,0.9982906915697338,0.996848265779857,0.9994150703682081,0.9993503543160084,0.9988656959287089,0.9041131655553101,0.9987272677676099,0.9986938549866742,0.6409719725322939,0.9984396590576152,0.999111759515113,0.9980110634120742,0.999368939586086,0.9978344684819435,0.9992521793890864,0.9997365099349741,0.9509417389440604,0.9904628577663447,0.9940003646111134
SANTA ANA - AUT [21145080],0.9975123081341456,0.9942909515211873,0.9982190793715022,0.9951635953705394,0.9961799347799435,0.9956956544447031,0.9990473664875286,0.01956481856404256,0.9940833866108882,0.9942011134353664,0.9301535282297666,0.9941263458170216,0.9974735642206647,1.0,0.9988005788447473,0.9949935587229977,0.9934871853909976,0.9953091562047868,0.9971319297681194,0.7767541330526279,0.9941619677715419,0.9957025082753805,0.9934919827376315,0.9952064090581642,0.9937913476533865,0.9942554974697358,0.9925978435148677,0.995670048688901,0.9990355981458201,0.9975579982113301,0.9118715566384702,0.9945386112723182,0.9939342438895545,0.657355618280376,0.9999236714088595,0.9942909515211873,0.9947932719186132,0.9953653066694207,0.9956459076352315,0.9950986911603235,0.999131735749747,0.9233771709806454,0.9890086457457374,0.993169967774865
SENA MOSQUERA [21206550],0.9994623881335175,0.9993148230497575,0.9999419703112569,0.9990335428355747,0.9996816619551258,0.9994360822221988,0.9997043802511898,0.019774145725426705,0.9993895512004628,0.9993699961118451,0.981172557894909,0.999642473085572,0.9995454261844862,0.9988005788447473,1.0,0.9993611288232087,0.9993980075609867,0.9998021633001203,0.9992076952062874,0.954443648137471,0.9991672699866201,,0.999432869332437,0.9991612838715943,0.999474736208746,0.9996965810134557,0.9986136152373937,0.9998616196960336,,,0.9782755355547916,0.9993585752177244,0.9994283464973721,0.8459339147709265,,0.9993148230497575,0.9994633532785044,0.9996708309417665,0.9991871843323277,0.9993667609651256,0.9995093812823593,0.9942024265728413,0.9969886947399456,0.9984364655117802
PRIMAVERA D MATIMA [21206180],0.9993983523678521,0.9987971026726907,0.9988189874881241,0.9982926691754677,0.9976806242089723,0.9981106455388659,0.9994916698966667,0.02488380401023816,0.9987823789858492,0.998593679100404,0.9102709840345998,0.9984433198542971,0.9988753368048352,0.9949935587229977,0.9993611288232087,1.0,0.998178289606787,0.9978737320449546,0.998938031695778,0.7497860697703687,0.9989686333460386,0.9993224025967024,0.9988914834575945,0.9987239602844356,0.998733007426148,0.9980496527443525,0.996496778371386,0.9993079506288988,0.9995393010182221,0.9992387607508045,0.8804177011197329,0.998770893720644,0.998825637735204,0.5839732395505471,0.9996873662732478,0.9987971026726907,0.9988631172494125,0.9990409336089745,0.998997095260155,0.9994075994267337,0.9995876164701383,0.902931350312187,0.9887150341840378,0.9943757691133973
PROVIDENCIA GRANJA [21205980],0.9989238388122661,0.9985529787334679,0.9986535245139088,0.9978516319933813,0.9973251555059987,0.997693326116071,0.9996485016576828,0.024431408094759598,0.9979537033000088,0.9989498044594965,0.9026015305409595,0.9980474790513071,0.9986639930860118,0.9934871853909976,0.9993980075609867,0.998178289606787,1.0,0.9964363542551,0.998607564434169,0.7215328313133045,0.997956807866329,0.9985848958791997,0.9989411989241277,0.9980147594542352,0.9990345562320386,0.9977289866536477,0.9949799170167435,0.9986608187704185,0.9992364195873268,0.9992851106892296,0.8649659141013257,0.99821944669636,0.9986536001167428,0.5682693196031143,0.9996420013901374,0.9985529787334679,0.9980603983711184,0.9988485827212447,0.9975395996099836,0.998814233894656,0.999426463234342,0.9047625828834647,0.9853464748220571,0.9909743827129621
LEGIOSA LA [21145070],0.9982209987129154,0.9976305251787918,0.9980280095754999,0.9977046398109898,0.9960588734107487,0.9970727235703929,0.9989062493310057,0.018433784992842317,0.996814876860564,0.9966044411745562,0.9255318925605621,0.9965676084023061,0.9984404662139893,0.9953091562047868,0.9998021633001203,0.9978737320449546,0.9964363542551,1.0,0.9981850156342823,0.8174328195293185,0.9976341435000488,0.9973663521244365,0.997160907487026,0.9982070198836256,0.9965297470408658,0.9963054384799863,0.9944995898717968,0.9983400495237179,0.9989506679449516,0.9980865741344194,0.9136504783918481,0.9978289353860781,0.9971114821471131,0.6635360655972417,0.998658446854041,0.9976305251787918,0.9972805726700418,0.9975618720633758,0.9979934146534392,0.9986669492435684,0.9990148019126658,0.9210734770500248,0.9895029170851106,0.9931634378186168
VENADO ORO VIVERO [21205580],0.9992536610374291,0.9988426008522178,0.9992910739645317,0.9985103555264769,0.9978373200091031,0.9988114158419527,0.9994121802510015,0.015137808417201522,0.9985619683188164,0.9984185905010322,0.9037699521265737,0.9982325273911032,0.9987362380149702,0.9971319297681194,0.9992076952062874,0.998938031695778,0.998607564434169,0.9981850156342823,1.0,0.7754733231423417,0.9986731553100822,0.9991367732618833,0.9988686782121502,0.9986719635663501,0.9986147637780072,0.9985286871197365,0.9962803026650096,0.9994003900437353,0.9994622561971395,0.9993345403921847,0.88670966601164,0.9991108911235266,0.9987279758546491,0.5990217909440604,0.9991278288972917,0.9988426008522178,0.9984001350254194,0.9992071447040768,0.998315352311341,0.9993340521918717,0.9994097703309418,0.9271376288411964,0.981823117904482,0.9935825467058366
JERUSALEN [21235010],0.7864423138081732,0.7732761503620188,0.8784408768785159,0.6838606266985365,0.7204056648611492,0.7114142802160724,0.9382224147975529,0.16809973021313457,0.6852614917789348,0.6511429242919584,0.6372293790289237,0.6905977053093145,0.8254563855080015,0.7767541330526279,0.954443648137471,0.7497860697703687,0.7215328313133045,0.8174328195293185,0.7754733231423417,1.0,0.7798703344645141,0.7247492383921303,0.7609632444728788,0.8468820821451436,0.6539220155849074,0.6964277715017613,0.680789613736062,0.888953040182042,0.9239415765697164,0.7807617934863053,0.6028567858355224,0.7357633247332266,0.7162063086197713,0.4764945739408791,0.8231572472396054,0.7732761503620188,0.6649316995892612,0.7929459242907604,0.7241788177283259,0.8001276181397732,0.9632175076041294,0.9094548618944734,0.7258324271437588,0.6784480109454399
