,JARDIN BOTANICO  - AUT [21205710],CABRERA LA [23065120],SAN JORGE GRANJA [21205720],TIBAITATA [21205420],BASE AEREA MADRID [21205770],PRIMAVERA D MATIMA [21206180],PROVIDENCIA GRANJA [21205980],VENADO ORO VIVERO [21205580],JERUSALEN [21235010],VEGAS LAS HACIENDA [21206230],GUASCA [21205700],ESCUELA COL INGENIERIA [21206050],UNIVERSIDAD NACIONAL  - AUT [21205012],FLORIDA LA [21205670],MERCEDES - AUT [21205660]
JARDIN BOTANICO  - AUT [21205710],1.0,0.10028200789999987,0.998265194395551,0.9981910743515262,0.9985553653683698,0.9987251108878018,0.9978913618624133,0.9990626301068543,0.9789327579100309,0.9987224731933709,0.9987006927894471,0.9987994786925197,0.9987779230971289,0.9985621375916841,0.9912102427308145
CABRERA LA [23065120],0.10028200789999987,1.0,0.07827222395854648,0.11105525445352533,0.1266385742743751,0.08814568663140677,0.11723617773949623,0.09456919847162368,0.16406932363160578,0.10863512739705405,0.09764915821731761,0.1042187954597889,0.10427721601972446,0.08984340583497573,0.09515861813097264
SAN JORGE GRANJA [21205720],0.998265194395551,0.07827222395854648,1.0,0.996187089334757,0.9982353036757928,0.9983839458621085,0.9959329931233137,0.9988231439464091,0.9709828257237013,0.9976517660313035,0.9975603293948293,0.9975028167572809,0.998397020949805,0.9983955903753611,0.9897533829950681
TIBAITATA [21205420],0.9981910743515262,0.11105525445352533,0.996187089334757,1.0,0.9980555729765637,0.9966378546017808,0.9986597000270662,0.9977479083956954,0.9716774983006101,0.9989717304588254,0.9972718528128363,0.9987655690813557,0.9979172907920928,0.9963450181748852,0.9867745432872604
BASE AEREA MADRID [21205770],0.9985553653683698,0.1266385742743751,0.9982353036757928,0.9980555729765637,1.0,0.9984954019289535,0.9978412951296343,0.9987174916683904,0.9858213841429985,0.9985457868089765,0.9981613271855836,0.9984178466172914,0.9987275364591909,0.9984384643417962,0.9932384674409704
PRIMAVERA D MATIMA [21206180],0.9987251108878018,0.08814568663140677,0.9983839458621085,0.9966378546017808,0.9984954019289535,1.0,0.9960486421682517,0.9990934661326557,0.9717187599657906,0.9974538216120903,0.9981595523304201,0.9978740414464348,0.9978802751018163,0.9991476779032481,0.9904554569493077
PROVIDENCIA GRANJA [21205980],0.9978913618624133,0.11723617773949623,0.9959329931233137,0.9986597000270662,0.9978412951296343,0.9960486421682517,1.0,0.9973302968117204,0.9711383761808733,0.9986444375618518,0.9968772810515132,0.9984770881543635,0.9977137294006458,0.9957959020812183,0.9864436168506354
VENADO ORO VIVERO [21205580],0.9990626301068543,0.09456919847162368,0.9988231439464091,0.9977479083956954,0.9987174916683904,0.9990934661326557,0.9973302968117204,1.0,0.9787667203691897,0.998476033773687,0.9986860258323672,0.9986596995044041,0.9987926956253057,0.9989798180947213,0.991245708723632
JERUSALEN [21235010],0.9789327579100309,0.16406932363160578,0.9709828257237013,0.9716774983006101,0.9858213841429985,0.9717187599657906,0.9711383761808733,0.9787667203691897,1.0,0.9715270791915172,0.9713151196948508,0.9716862555919585,0.9760873685487446,0.9719309847287492,0.9707263648421464
VEGAS LAS HACIENDA [21206230],0.9987224731933709,0.10863512739705405,0.9976517660313035,0.9989717304588254,0.9985457868089765,0.9974538216120903,0.9986444375618518,0.998476033773687,0.9715270791915172,1.0,0.9979480905711637,0.9990266487009826,0.9985545028919964,0.9972200364870748,0.988867020013173
GUASCA [21205700],0.9987006927894471,0.09764915821731761,0.9975603293948293,0.9972718528128363,0.9981613271855836,0.9981595523304201,0.9968772810515132,0.9986860258323672,0.9713151196948508,0.9979480905711637,1.0,0.9982048611603834,0.9979450195837407,0.9979780492024533,0.9893408219343623
ESCUELA COL INGENIERIA [21206050],0.9987994786925197,0.1042187954597889,0.9975028167572809,0.9987655690813557,0.9984178466172914,0.9978740414464348,0.9984770881543635,0.9986596995044041,0.9716862555919585,0.9990266487009826,0.9982048611603834,1.0,0.9985115208963858,0.9975022079109739,0.987950501657746
UNIVERSIDAD NACIONAL  - AUT [21205012],0.9987779230971289,0.10427721601972446,0.998397020949805,0.9979172907920928,0.9987275364591909,0.9978802751018163,0.9977137294006458,0.9987926956253057,0.9760873685487446,0.9985545028919964,0.9979450195837407,0.9985115208963858,1.0,0.9981681213543495,0.9921351754556897
FLORIDA LA [21205670],0.9985621375916841,0.08984340583497573,0.9983955903753611,0.9963450181748852,0.9984384643417962,0.9991476779032481,0.9957959020812183,0.9989798180947213,0.9719309847287492,0.9972200364870748,0.9979780492024533,0.9975022079109739,0.9981681213543495,1.0,0.9902716025345096
MERCEDES - AUT [21205660],0.9912102427308145,0.09515861813097264,0.9897533829950681,0.9867745432872604,0.9932384674409704,0.9904554569493077,0.9864436168506354,0.991245708723632,0.9707263648421464,0.988867020013173,0.9893408219343623,0.987950501657746,0.9921351754556897,0.9902716025345096,1.0
