,JARDIN BOTANICO  - AUT [21205710],CABRERA LA [23065120],SAN JORGE GRANJA [21205720],TIBAITATA [21205420],BASE AEREA MADRID [21205770],PRIMAVERA D MATIMA [21206180],PROVIDENCIA GRANJA [21205980],VENADO ORO VIVERO [21205580],JERUSALEN [21235010],VEGAS LAS HACIENDA [21206230],GUASCA [21205700],ESCUELA COL INGENIERIA [21206050],UNIVERSIDAD NACIONAL  - AUT [21205012],FLORIDA LA [21205670],MERCEDES - AUT [21205660]
JARDIN BOTANICO  - AUT [21205710],1.0,-0.00537292556443164,0.9989095937586985,0.9990555538162251,0.9992707773632576,0.9987711556449949,0.9991216110812636,0.9990881742652991,0.8580209620624155,0.999479483142641,0.9985136799880685,0.9985021339324036,0.9994296473818574,0.9983724638292534,0.9886078284938008
CABRERA LA [23065120],-0.00537292556443164,1.0,-0.00659749829363327,0.003713575369811334,-0.011962586139429385,0.012042956682547777,0.004525885108428531,-0.014519061707071167,0.24959829895773092,-0.004154214923276305,-0.017701780930328776,-0.005116704250079396,-0.008241703012072584,0.0027099696390123964,0.07520051736583232
SAN JORGE GRANJA [21205720],0.9989095937586985,-0.00659749829363327,1.0,0.9988568686210895,0.9993029720586835,0.9983388875929878,0.998731499376665,0.9990529118270823,0.8459813731287292,0.9992227936575104,0.9986299589323491,0.9987615727897294,0.9992251287263222,0.9981247471877603,0.9850350444759699
TIBAITATA [21205420],0.9990555538162251,0.003713575369811334,0.9988568686210895,1.0,0.9993588709234636,0.9987403626672474,0.9995116741385409,0.9992047186709084,0.8298779147995551,0.9995216062210059,0.9985610497248648,0.9987779190074834,0.9995961918045038,0.9983730261971691,0.9852652135760602
BASE AEREA MADRID [21205770],0.9992707773632576,-0.011962586139429385,0.9993029720586835,0.9993588709234636,1.0,0.9993228873200375,0.9994570631453513,0.9993559058071523,0.9162653776974095,0.9996265262645893,0.9990848341519515,0.9991268738719593,0.9995886326852041,0.9990488855969243,0.9932065839212061
PRIMAVERA D MATIMA [21206180],0.9987711556449949,0.012042956682547777,0.9983388875929878,0.9987403626672474,0.9993228873200375,1.0,0.998494943614782,0.998918790692274,0.8873878246812075,0.9987880146333422,0.9982421497455007,0.9979317866412621,0.9988568125202977,0.9988731167813313,0.9897210427280774
PROVIDENCIA GRANJA [21205980],0.9991216110812636,0.004525885108428531,0.998731499376665,0.9995116741385409,0.9994570631453513,0.998494943614782,1.0,0.9992184954198541,0.8719090405313851,0.9992612921772682,0.9987000316446504,0.9987263377598837,0.9994161293443915,0.998503596941474,0.9869320057979452
VENADO ORO VIVERO [21205580],0.9990881742652991,-0.014519061707071167,0.9990529118270823,0.9992047186709084,0.9993559058071523,0.998918790692274,0.9992184954198541,1.0,0.8905222857446321,0.9994615255367572,0.999014728944098,0.9989152466466497,0.9994863502119681,0.9987023516645075,0.991156765789363
JERUSALEN [21235010],0.8580209620624155,0.24959829895773092,0.8459813731287292,0.8298779147995551,0.9162653776974095,0.8873878246812075,0.8719090405313851,0.8905222857446321,1.0,0.8881441919136257,0.8474860826389594,0.8611102517782763,0.9032354935493403,0.8738254188343793,0.8949798138117692
VEGAS LAS HACIENDA [21206230],0.999479483142641,-0.004154214923276305,0.9992227936575104,0.9995216062210059,0.9996265262645893,0.9987880146333422,0.9992612921772682,0.9994615255367572,0.8881441919136257,1.0,0.9991299197350183,0.9989612487521741,0.9995448482430556,0.9989483734742943,0.9871634652697229
GUASCA [21205700],0.9985136799880685,-0.017701780930328776,0.9986299589323491,0.9985610497248648,0.9990848341519515,0.9982421497455007,0.9987000316446504,0.999014728944098,0.8474860826389594,0.9991299197350183,1.0,0.9986464620135057,0.9992121764282564,0.9980548867681979,0.9868004606052013
ESCUELA COL INGENIERIA [21206050],0.9985021339324036,-0.005116704250079396,0.9987615727897294,0.9987779190074834,0.9991268738719593,0.9979317866412621,0.9987263377598837,0.9989152466466497,0.8611102517782763,0.9989612487521741,0.9986464620135057,1.0,0.9993447705803999,0.9976862181015052,0.9853146578173528
UNIVERSIDAD NACIONAL  - AUT [21205012],0.9994296473818574,-0.008241703012072584,0.9992251287263222,0.9995961918045038,0.9995886326852041,0.9988568125202977,0.9994161293443915,0.9994863502119681,0.9032354935493403,0.9995448482430556,0.9992121764282564,0.9993447705803999,1.0,0.9989473908480134,0.9901173522492208
FLORIDA LA [21205670],0.9983724638292534,0.0027099696390123964,0.9981247471877603,0.9983730261971691,0.9990488855969243,0.9988731167813313,0.998503596941474,0.9987023516645075,0.8738254188343793,0.9989483734742943,0.9980548867681979,0.9976862181015052,0.9989473908480134,1.0,0.9886551095616227
MERCEDES - AUT [21205660],0.9886078284938008,0.07520051736583232,0.9850350444759699,0.9852652135760602,0.9932065839212061,0.9897210427280774,0.9869320057979452,0.991156765789363,0.8949798138117692,0.9871634652697229,0.9868004606052013,0.9853146578173528,0.9901173522492208,0.9886551095616227,1.0
