CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
21206040,ESAP [21206040],4.6467777780,-74.09636111,2553,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,"Bogota, D.C",15/04/1985 00:00,08/09/2009 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1985-04-15 00:00,0,50,,900
21206040,ESAP [21206040],4.6467777780,-74.09636111,2553,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,"Bogota, D.C",15/04/1985 00:00,08/09/2009 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1985-04-16 00:00,0,50,,900
21206040,ESAP [21206040],4.6467777780,-74.09636111,2553,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,"Bogota, D.C",15/04/1985 00:00,08/09/2009 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1985-04-17 00:00,0,50,,900
21206040,ESAP [21206040],4.6467777780,-74.09636111,2553,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,"Bogota, D.C",15/04/1985 00:00,08/09/2009 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1985-04-18 00:00,0,50,,900
21206040,ESAP [21206040],4.6467777780,-74.09636111,2553,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,"Bogota, D.C",15/04/1985 00:00,08/09/2009 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1985-04-19 00:00,0,50,,900
21206040,ESAP [21206040],4.6467777780,-74.09636111,2553,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,"Bogota, D.C",15/04/1985 00:00,08/09/2009 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1985-04-20 00:00,0,50,,900
21206040,ESAP [21206040],4.6467777780,-74.09636111,2553,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,"Bogota, D.C",15/04/1985 00:00,08/09/2009 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1985-04-21 00:00,1,50,,900
21206040,ESAP [21206040],4.6467777780,-74.09636111,2553,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,"Bogota, D.C",15/04/1985 00:00,08/09/2009 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1985-04-22 00:00,11.6,50,,900
21206040,ESAP [21206040],4.6467777780,-74.09636111,2553,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,"Bogota, D.C",15/04/1985 00:00,08/09/2009 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1985-04-23 00:00,0.3,50,,900
21206040,ESAP [21206040],4.6467777780,-74.09636111,2553,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Bogota,"Bogota, D.C",15/04/1985 00:00,08/09/2009 00:00,PRECIPITACION,PTPM_CON,Día pluviométrico,Diaria,1985-04-24 00:00,4.1,50,,900
